Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2028418286,00000100,false,Rx,1,8,00,00,00,00,B3,01,F0,00,
2028428195,00000101,false,Rx,1,8,00,00,00,00,00,00,00,00,
2028438199,00000102,false,Rx,1,8,02,9A,01,00,00,C8,03,00,
2028448633,00000200,false,Rx,1,8,FF,00,00,00,FA,00,FF,FF,
2028491329,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2028491578,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2028491830,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2028492058,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2028518517,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2028528475,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2028538481,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2028548498,00000200,false,Rx,1,8,FF,00,00,00,FA,00,FF,FF,
2028591311,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2028591566,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2028591837,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2028592050,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2028618572,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2028628569,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2028638596,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2028648619,00000200,false,Rx,1,8,FF,00,00,00,FA,00,FF,FF,
2028691178,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2028691412,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2028691663,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2028691917,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2028718711,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2028728678,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2028738706,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2028748707,00000200,false,Rx,1,8,FF,00,00,00,FA,00,FF,FF,
2028791303,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2028791543,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2028791867,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2028792054,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2028818864,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2028828781,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2028838866,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2028848939,00000200,false,Rx,1,8,FF,00,00,00,FA,00,FF,FF,
2028891182,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2028891436,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2028891687,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2028891933,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2028918936,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2028928932,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2028938936,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2028948951,00000200,false,Rx,1,8,FF,00,00,00,FA,00,FF,FF,
2028991173,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2028991401,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2028991659,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2028991947,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029018986,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029028975,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029039015,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029049013,00000200,false,Rx,1,8,FF,00,00,00,FA,00,FF,FF,
2029091179,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029091421,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2029091661,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029091954,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029119133,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029129093,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029139100,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029149107,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2029191162,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029191392,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2029191633,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029191914,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029219193,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029229197,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029239235,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029249207,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2029291101,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029291370,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2029291598,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029291924,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029319321,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029329287,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029339301,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029349442,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2029391246,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029391486,00000109,false,Rx,1,8,02,00,00,00,01,20,FF,FF,
2029391740,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029392004,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029419391,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029429344,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029439412,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
